,permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
246,1144200,FRIDA ROOM,07/07/2020,05/31/2021,1454 W 18TH ST,41.857947179,-87.66353726700001
247,1144204,Stans Donuts Erie Street,04/10/2020,05/31/2021,259 E ERIE ST,41.894085381,-87.62040431
248,1144205,BONCHON,04/15/2020,05/31/2021,1732 W DIVISION ST,41.903392061999995,-87.671376684
249,1144207,TOON'S BAR & GRILL,03/03/2020,05/31/2021,3857 N SOUTHPORT AVE,41.952401641,-87.664018273
250,1144208,LETIZA'S NATURAL BAKERY / ENOTECA ROMA,03/05/2020,05/31/2021,2144-2146 W DIVISION ST,41.903226756,-87.681491222
251,1144209,DECLAN'S IRISH PUB,02/28/2020,05/31/2021,1240 N WELLS ST,41.905048794,-87.634668656
252,1144210,20 EAST,05/22/2020,05/31/2021,10-20 E DELAWARE PL,41.899255056,-87.627834638
253,1144211,BEATRIX MARKET,03/04/2020,05/31/2021,23 E JACKSON BLVD,41.878118514,-87.62680983
254,1144221,STARBUCKS COFFEE #2310,04/10/2020,05/31/2021,5300 N CLARK ST,41.978066283000004,-87.66849574700001
255,1144234,Rosebud Steakhouse,03/03/2020,05/31/2021,192 E WALTON PL,41.900150069,-87.622146745
256,1144235,ROSEBUD-RUSH,03/03/2020,05/31/2021,55 E SUPERIOR ST,41.89560412,-87.62597725299999
257,1144236,CARMINE'S,03/03/2020,05/31/2021,1043 N RUSH ST,41.902091807,-87.627992763
258,1144237,ROSEBUD CAFE,03/03/2020,05/31/2021,1500 W TAYLOR ST,41.869409054,-87.66419709
259,1144238,FATPOUR TAP WORKS,03/04/2020,05/31/2021,2206 S INDIANA AVE,41.852637001,-87.622408701
260,1144239,WOODIE'S FLAT,03/04/2020,05/31/2021,1535 N WELLS ST,41.910189525,-87.634533167
261,1144241,FAT POUR,03/04/2020,05/31/2021,2005-2007 W DIVISION ST,41.903076749,-87.677527824
262,1144242,COURTYARD BY MARRIOTT,03/06/2020,05/31/2021,165 E ONTARIO ST,41.893251246,-87.62279184399999
263,1144243,FOUR MOON TAVERN,03/03/2020,05/31/2021,1847 W ROSCOE ST,41.943140963000005,-87.675707395
264,1144245,GODDESS AND THE BAKER,06/10/2020,05/31/2021,225 N LA SALLE ST,41.886404721,-87.632321714
265,1144246,POPEYES CHICKEN,03/09/2020,05/31/2021,156 N WABASH AVE,41.884714877,-87.626400132
266,1144247,OSTERIA LANGHE,02/28/2020,05/31/2021,2824 W ARMITAGE AVE,41.917589594,-87.69825289799999
267,1144248,ALEGRIAS SEAFOOD,03/12/2020,05/31/2021,1024 N ASHLAND AVE,41.900452559,-87.667560098
268,1144249,MAPLE & ASH/ EIGHT BAR,07/10/2020,05/31/2021,6-8 W MAPLE ST,41.901990808,-87.62859380299999
269,1144254,VOLARE,02/28/2020,05/31/2021,201-205 E GRAND AVE,41.891652214000004,-87.622603814
270,1144256,VAUGHAN'S PUB,03/11/2020,05/31/2021,2917 N SHEFFIELD AVE,41.935002358,-87.653792375
271,1144257,EMERALD LOOP BAR & GRILL,03/10/2020,05/31/2021,216 N WABASH AVE,41.886211489000004,-87.62645226
