,PERMIT NUMBER,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,LOCATION
361,1144382,STARBUCKS COFFEE #10199,04/10/2020,05/31/2021,131 S DEARBORN ST,CHICAGO,IL,60603.0,41.87988544,-87.629211595,"(41.87988544030099, -87.62921159480324)"
362,1144383,STARBUCKS COFFEE #16309,02/28/2020,05/31/2021,200 S MICHIGAN AVE,CHICAGO,IL,60604.0,41.879489329,-87.624498125,"(41.87948932869769, -87.6244981249339)"
363,1144384,STARBUCKS COFFEE #216,02/28/2020,05/31/2021,401 E ONTARIO ST,CHICAGO,IL,60611.0,41.893341295999996,-87.617589151,"(41.893341296312244, -87.61758915120579)"
364,1144385,STARBUCKS COFFEE #28867,04/10/2020,05/31/2021,333 N MICHIGAN AVE,CHICAGO,,60601.0,41.887542941,-87.62440700200001,"(41.88754294139151, -87.62440700245574)"
365,1144386,DUNKIN DONUTS,03/16/2020,05/31/2021,93 N CANAL ST,CHICAGO,IL,60606.0,41.883126523,-87.63958775100001,"(41.883126523396164, -87.63958775124475)"
366,1144387,DUNKIN DONUTS,07/16/2020,05/31/2021,205 W WACKER DR,CHICAGO,IL,60606.0,41.886707304,-87.634150393,"(41.886707304096035, -87.63415039321221)"
367,1144388,BASKIN ROBBINS,03/16/2020,05/31/2021,31 E ADAMS ST,CHICAGO,IL,60603.0,41.87939908,-87.626559106,"(41.879399079856356, -87.62655910577415)"
368,1144389,DUNKIN DONUTS,03/16/2020,05/31/2021,39 W JACKSON BLVD,CHICAGO,IL,60604.0,41.878057651999995,-87.629268945,"(41.87805765240321, -87.62926894464043)"
369,1144390,DUNKIN DONUTS,03/16/2020,05/31/2021,117 S CLINTON ST,CHICAGO,IL,60661.0,41.880023521999995,-87.640988575,"(41.88002352164489, -87.6409885748007)"
370,1144391,DUNKIN DONUTS,03/16/2020,05/31/2021,1015 W LAKE ST,CHICAGO,IL,60607.0,41.885462128,-87.652806814,"(41.885462128295, -87.65280681385605)"
371,1144392,DUNKIN DONUTS,03/16/2020,05/31/2021,27 E LAKE ST,CHICAGO,IL,60601.0,41.885642588,-87.626930025,"(41.88564258759103, -87.62693002456231)"
372,1144393,HOT WOKS COOL SUSHI,03/12/2020,05/31/2021,30 S MICHIGAN AVE,CHICAGO,IL,60603.0,41.881371062,-87.62449175200001,"(41.88137106153754, -87.62449175187143)"
373,1144394,HOT WOKS COOL SUSHI,03/12/2020,05/31/2021,2032 W ROSCOE ST,CHICAGO,IL,60618.0,41.943312712,-87.679721969,"(41.943312712450826, -87.67972196894465)"
374,1144395,BUFFALO WINGS AND RINGS,05/19/2020,05/31/2021,3434 S HALSTED ST,CHICAGO,IL,60608.0,41.831724396,-87.646276392,"(41.831724396177286, -87.6462763924342)"
375,1144396,CASA MARGARITA,03/13/2020,05/31/2021,505 N LAKE SHORE DR,CHICAGO,,,41.891279293000004,-87.614107533,"(41.89127929349215, -87.61410753333017)"
376,1144397,CAFFECAFE,02/28/2020,05/31/2021,1 E WACKER DR,CHICAGO,IL,60601.0,41.886707555,-87.62788347799999,"(41.886707555069805, -87.6278834784023)"
377,1144398,BLACK AND CASPIEN WINE BISTRO,05/13/2020,05/31/2021,2908 N BROADWAY,CHICAGO,,60657.0,41.935164878,-87.64438454,"(41.93516487837232, -87.6443845401894)"
378,1144399,"GODDESS AND THE BAKER GRAND, LLC",05/20/2020,05/31/2021,44 E GRAND AVE,CHICAGO,,60611.0,41.891800155,-87.626331866,"(41.89180015540774, -87.62633186618312)"
379,1144400,NANDO'S PERI-PERI,03/04/2020,05/31/2021,227 E ONTARIO ST,CHICAGO,IL,60611.0,41.893262977,-87.621958776,"(41.893262977315636, -87.6219587764921)"
380,1144408,THE GLUNZ TAVERN,02/28/2020,05/31/2021,1202 N WELLS ST,CHICAGO,IL,60610.0,41.903967607,-87.63462792700001,"(41.9039676073598, -87.63462792716602)"
381,1144409,ORANGE ON ROSCOE,02/28/2020,05/31/2021,2011 W ROSCOE ST,CHICAGO,IL,60618.0,41.943102228,-87.67892832,"(41.94310222783471, -87.67892832012319)"
382,1144410,BERNIE'S,03/06/2020,05/31/2021,3664 N CLARK ST,CHICAGO,IL,60613.0,41.948843781,-87.65800926200001,"(41.948843780887984, -87.65800926199522)"
383,1144411,ELEPHANT & CASTLE PUB & RESTAURANT,02/28/2020,05/31/2021,185 N WABASH AVE,CHICAGO,IL,60601.0,41.885431671,-87.626119286,"(41.88543167061009, -87.626119285512)"
384,1144412,"INA MAE TAVERN & PACKAGED GOODS, INC.",06/29/2020,05/31/2021,1415 N WOOD ST,CHICAGO,,60622.0,41.907583209,-87.672348411,"(41.90758320894764, -87.67234841089311)"
385,1144413,LINCOLN STATION,07/01/2020,05/31/2021,2430-32 N LINCOLN AVE,CHICAGO,IL,60614.0,41.926064411999995,-87.649841023,"(41.92606441246732, -87.64984102257678)"
386,1144415,"BUTCH MC GUIRE'S, INC.",03/19/2020,05/31/2021,20 W DIVISION ST,CHICAGO,IL,60610.0,41.90403823,-87.629502324,"(41.90403823021623, -87.62950232369502)"
387,1144416,BOEUFHAUS,05/01/2020,05/31/2021,1012 N WESTERN AVE,CHICAGO,IL,60622.0,41.899833871999995,-87.68709615700001,"(41.89983387207676, -87.68709615660384)"
388,1144417,FINLEY MAHONY'S,02/28/2020,05/31/2021,3701 N BROADWAY,CHICAGO,,60613.0,41.949249548000004,-87.64825980100001,"(41.94924954780584, -87.64825980109582)"
389,1144418,SHAKE SHACK,03/06/2020,05/31/2021,66 E OHIO ST,CHICAGO,IL,60611.0,41.892632695,-87.625469349,"(41.892632694540204, -87.62546934851405)"
