permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
1049699,LULA CAFE,2006-04-27T00:00:00.000,2006-12-01T00:00:00.000,2537 N KEDZIE BLVD,41.927653196,-87.707119009
1049697,TOPO GIGIO RISTORANTE,2006-04-11T00:00:00.000,2006-12-01T00:00:00.000,1514-16 N WELLS ST,41.909637819000004,-87.634809411
1049696,THE VIOLET HOUR,2006-11-08T00:00:00.000,2006-12-01T00:00:00.000,1520 N DAMEN AVE,41.9089214,-87.677567796
1049686,OLD PUEBLO CANTINA,2006-04-14T00:00:00.000,2006-12-01T00:00:00.000,1200-02 W WEBSTER AVE,41.921770491,-87.658398202
1049683,TINAJON RESTAURANT,2006-03-30T00:00:00.000,2006-12-01T00:00:00.000,2054 W ROSCOE ST,41.94330118,-87.680650793
1049682,DINKEL'S BAKERY INC,2006-05-01T00:00:00.000,2006-12-01T00:00:00.000,3329 N LINCOLN AVE,41.942224376999995,-87.670270135
1049675,STARBUCKS COFFEE #222,2006-05-10T00:00:00.000,2006-12-01T00:00:00.000,2200 N CLYBOURN AVE,41.921581373,-87.664565129
1049662,JAKE'S PUP IN THE RUF INC,2006-04-06T00:00:00.000,2006-12-01T00:00:00.000,4401 N SHERIDAN RD,41.961824921,-87.654601961
1049657,CORNER BAKERY CAFE,2006-04-13T00:00:00.000,2006-12-01T00:00:00.000,35 E MONROE ST,41.880675401,-87.62645664
1049648,RABBIT HOLE,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,1208 N WELLS ST,41.904150703,-87.63463644
1049643,BRICKHOUSE,2006-04-20T00:00:00.000,2006-12-01T00:00:00.000,1258 W BELMONT AVE,41.939908646,-87.661384971
1049641,ACRE/ OMBRA,2006-04-19T00:00:00.000,2006-12-01T00:00:00.000,5308 N CLARK ST,41.978342059,-87.66848426600001
1049638,LINCOLN STATION,2006-05-03T00:00:00.000,2006-12-01T00:00:00.000,2430-32 N LINCOLN AVE,41.926064411999995,-87.649841023
1049629,FAST & FRESH,2006-04-19T00:00:00.000,2006-12-01T00:00:00.000,3500 N BROADWAY,41.945511375,-87.646315227
1049626,ORANGE ON ROSCOE,2006-05-09T00:00:00.000,2006-12-01T00:00:00.000,2011 W ROSCOE ST,41.943102228,-87.67892832
1049623,Chipotle Mexican Grill,2006-04-11T00:00:00.000,2006-12-01T00:00:00.000,6 W GRAND AVE,41.891772505,-87.628316677
1049620,HALF SOUR,2006-03-30T00:00:00.000,2006-12-01T00:00:00.000,755 S CLARK ST,41.872361366,-87.630467205
1049617,CARMINE'S CLAM HOUSE INC,2006-03-31T00:00:00.000,2006-12-01T00:00:00.000,1043 N RUSH ST,41.902091807,-87.627992763
1049602,THE CHICAGO CHOCOLATE COMPANY,2006-04-07T00:00:00.000,2006-12-01T00:00:00.000,847 W RANDOLPH ST,41.884266366999995,-87.649271468
1049601,STARBUCKS COFFEE #282,2006-05-10T00:00:00.000,2006-12-01T00:00:00.000,555 S DEARBORN ST,41.874662881,-87.629065289
1049599,STARBUCKS COFFEE #2234,2006-05-10T00:00:00.000,2006-12-01T00:00:00.000,200 W ADAMS ST,41.879495471999995,-87.63382966100001
1049595,KAMEHACHI OF TOKYO,2006-04-19T00:00:00.000,2006-12-01T00:00:00.000,240 E ONTARIO ST,41.893488245,-87.62164488
1049594,MORSELAND,2006-04-18T00:00:00.000,2006-12-01T00:00:00.000,1218-20 W MORSE AVE,42.008077038,-87.66243185100001
1049591,SAUSALITO,2006-04-11T00:00:00.000,2006-12-01T00:00:00.000,543 W DIVERSEY PKWY,41.932728746,-87.642987207
1049494,JOHN BARLEYCORN MEMORIAL PUB,2006-04-11T00:00:00.000,2006-12-01T00:00:00.000,658 W BELDEN AVE,41.923779361,-87.646156654
